REGION,user_id,campaign,medium,source,LP_benefit_activation,unsubscribe,cancellation
europe-west1,6BHRE7UH1PXuCiEvMPEUVo7nu703,22VLE-SE-NP-AO-ROAS-onlinegrocery_2022_VLG_Ecom_Search_NA_AlwaysOn_Purchase_OnlineGrocery,cpc,google,,,
europe-west1,6BfW0EaPDbWo95zjZogGb3YTIJb2,(referral),referral,l.facebook.com,,,
europe-west1,6Bi3UmdqmZUp6uTqMpghkM0raof1,(referral),referral,l.facebook.com,1,,
europe-west1,6BsUioCLs7S9MkaseNFBnvDHxq73,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,7,,
europe-west1,6BscYdfe0NZHw5r8OxUejfTMIa03,Shipment_confirmation_email_BEFR,email,email,,,
europe-west1,6CCSJbcLnmRwIyepYKmhrjXa46A3,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,7,,
europe-west1,6CDkDNu7wpc2VWy0z1ZklUJAX1I3,24VLE-FB-RP-AO-ROAS-bestsellers_2024_VLG_Ecom_Facebook_RET_AlwaysOn_Purchase,paid_social,facebook,,,
europe-west1,6CIAfh5ltNc1gNgBwvrY5zaFigf1,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,1,,
europe-west1,6CPnDuSJZ9WNS9a7cmo84bnYRxy2,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,6Cfmqg4AzHhQe2VZiNPvQawI52u2,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,2,,
europe-west1,6D0ipdRIA4SqIH2W36wfAxAkxVC3,(referral),referral,foodello.nl,1,,
